who_term,best_abpath_match,score,bucket,source,note
BST::Soft_Tissue::Nerve_Sheath::Granular_Cell_Tumor,BST::Soft_Tissue::Nerve_Sheath::Benign::Granular_Cell_Tumor,93,accepted,who,
BST::Soft_Tissue::Nerve_Sheath::Hybrid_Nerve_Sheath_Tumor,BST::Soft_Tissue::Nerve_Sheath::Benign::Hybrid_Nerve_Sheath_Tumor,93,accepted,who,
BST::Soft_Tissue::Nerve_Sheath::Malignant_Melanotic_Nerve_Sheath_Tumor,BST::Soft_Tissue::Nerve_Sheath::Malignant::Malignant_Melanotic_Nerve_Sheath_Tumor,93,accepted,who,
BST::Soft_Tissue::Nerve_Sheath::Perineurioma,BST::Soft_Tissue::Nerve_Sheath::Benign::Ganglioneuroma,84,review,who,
BST::Soft_Tissue::Nerve_Sheath::Solitary_Circumscribed_Neuroma,BST::Soft_Tissue::Nerve_Sheath::Benign::Solitary_Circumscribed_Neuroma,94,accepted,who,
BST::Soft_Tissue::Pericytic::Angioleiomyoma,BST::Soft_Tissue::Pericytic::Benign::Angioleiomyoma,91,accepted,who,
BST::Soft_Tissue::Pericytic::Glomus_Tumor,BST::Soft_Tissue::Pericytic::Benign::Glomus_Tumor,91,accepted,who,
BST::Soft_Tissue::Skeletal_Muscle::Ectomesenchymoma,BST::Soft_Tissue::Skeletal_Muscle::Malignant::Ectomesenchymoma,90,accepted,who,
BST::Soft_Tissue::Skeletal_Muscle::Pleomorphic_Rhabdomyosarcoma,BST::Soft_Tissue::Skeletal_Muscle::Malignant::Pleomorphic_Rhabdomyosarcoma,92,accepted,who,
BST::Soft_Tissue::Skeletal_Muscle::Rhabdomyoma,BST::Soft_Tissue::Skeletal_Muscle::Benign::Rhabdomyoma_Adult,87,review,who,
BST::Soft_Tissue::Skeletal_Muscle::Spindle_Cell_Sclerosing_Rhabdomyosarcoma,BST::Soft_Tissue::Skeletal_Muscle::Malignant::Spindle_Cell_Sclerosing_Rhabdomyosarcoma,93,accepted,who,
BST::Soft_Tissue::Smooth_Muscle::EBV_Associated_Smooth_Muscle_Tumor,BST::Soft_Tissue::Smooth_Muscle::Benign::EBV_Associated_Smooth_Muscle_Tumor,94,accepted,who,
