root,source,tag,record_id,title,path
Lung,abpath,Cyto_Heme::Malignant::Metastatic::Carcinoma_Breast_Lung_GI,Carcinoma_Breast_Lung_GI,Carcinoma_Breast_Lung_GI,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Liver::Malignant::Metastatic::Metastatic_Lung_Carcinoma_Non_Small_Cell,Metastatic_Lung_Carcinoma_Non_Small_Cell,Metastatic_Lung_Carcinoma_Non_Small_Cell,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Liver::Malignant::Metastatic::Metastatic_Lung_Carcinoma_Small_Cell,Metastatic_Lung_Carcinoma_Small_Cell,Metastatic_Lung_Carcinoma_Small_Cell,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Neuro::Malignant::Metastatic::Metastatic_Carcinoma_Lung,Metastatic_Carcinoma_Lung,Metastatic_Carcinoma_Lung,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Pancreatobiliary::Malignant::Metastatic::Metastasis_Lung_Carcinoma,Metastasis_Lung_Carcinoma,Metastasis_Lung_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Benign_Reactive::Inflammatory::Amyloidosis_Lung,Amyloidosis_Lung,Amyloidosis_Lung,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Malignant::Carcinoma::Adenocarcinoma_Lung_Enteric,Adenocarcinoma_Lung_Enteric,Adenocarcinoma_Lung_Enteric,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Malignant::Carcinoma::Adenocarcinoma_Lung_Fetal,Adenocarcinoma_Lung_Fetal,Adenocarcinoma_Lung_Fetal,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Malignant::Carcinoma::Adenocarcinoma_Lung_Invasive,Adenocarcinoma_Lung_Invasive,Adenocarcinoma_Lung_Invasive,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Malignant::Carcinoma::Adenocarcinoma_Lung_Lepidic_Pattern,Adenocarcinoma_Lung_Lepidic_Pattern,Adenocarcinoma_Lung_Lepidic_Pattern,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Malignant::Carcinoma::Adenocarcinoma_Lung_Mucinous,Adenocarcinoma_Lung_Mucinous,Adenocarcinoma_Lung_Mucinous,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Malignant::Metastatic::Metastatic_Tumor_To_Lung,Metastatic_Tumor_To_Lung,Metastatic_Tumor_To_Lung,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thoracic::Malignant::Neuroendocrine::Small_Cell_Lung_Carcinoma,Small_Cell_Lung_Carcinoma,Small_Cell_Lung_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Thyroid::Malignant::Metastatic::Metastasis_To_Thyroid_Lung,Metastasis_To_Thyroid_Lung,Metastasis_To_Thyroid_Lung,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,GYN::Ovary::Neoplastic::Metastatic::Metastatic_Lung_Carcinoma,Metastatic_Lung_Carcinoma,Metastatic_Lung_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Molecular::Solid::Lung::Non_Small_Cell_Carcinoma,Non_Small_Cell_Carcinoma,Non_Small_Cell_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Molecular::Solid::Lung::Small_Cell_Carcinoma,Small_Cell_Carcinoma,Small_Cell_Carcinoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,lectures,Breast::Lectures::Breast_Lecture_Fibroepithelial::Metastatic_Small_Cell_Carcinoma_Lung_and_Vulva,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000666,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
Lung,lectures,Breast::Lectures::Breast_Lecture_IHC::Distinguishing_Breast_Cancer_from_Lung_Primary_Cancer,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000866,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
Lung,lectures,Breast::Lectures::Breast_Lecture_IHC::Adenocarcinoma_Distinguishing_Breast_vs_Lung_Origin,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000867,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
Lung,lectures,Breast::Lectures::Breast_Lecture_IHC::Adenocarcinoma_Differential_Diagnosis_in_Breast_vs_Lung,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000868,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
Lung,lectures,Breast::Lectures::Breast_Lecture_IHC::Adenocarcinoma_Comparing_Breast_and_Lung_Cancer,lecture::gcs_gs_pathology_hub_02_normalized_lectures_lecture_chunks::000000000_000000000_000869,Benign Cystic Neck Mass (Case 01),data/curriculum_map_readiness_v0/lecture_timecoded_vector_docstore_STRICT_CYTO_v9.sample5000.jsonl
Derm,abpath,BST::Soft_Tissue::Fibroblastic::Benign::Dermatomyofibroma,Dermatomyofibroma,Dermatomyofibroma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
