source,tag,count
abpath,BST::Soft_Tissue::Vascular::Intermediate::Pseudomyogenic_Hemangioendothelioma,1
abpath,BST::Soft_Tissue::Vascular::Intermediate::Retiform_Hemangioendothelioma,1
abpath,BST::Soft_Tissue::Vascular::Malignant::Angiosarcoma,1
abpath,BST::Soft_Tissue::Vascular::Malignant::Epithelioid_Hemangioendothelioma,1
abpath,BST::Soft_Tissue::Vascular::Malignant::Intimal_Sarcoma,1
abpath,BST::Syndromes::Predisposition::General::Li_Fraumeni_Syndrome,1
abpath,BST::Syndromes::Predisposition::General::Neurofibromatosis_Type_1,1
abpath,BST::Syndromes::Predisposition::General::Rothmund_Thomson_Syndrome,1
abpath,BST::Syndromes::Predisposition::General::Werner_Syndrome,1
abpath,BST::Syndromes::Predisposition::Skeletal::Enchondromatosis_Ollier_Maffucci,1
abpath,BST::Syndromes::Predisposition::Skeletal::McCune_Albright_Syndrome,1
abpath,BST::Syndromes::Predisposition::Skeletal::Multiple_Osteochondromas,1
abpath,Breast::Congenital_Structural::Cyst::Fibrocystic_Changes,1
abpath,Breast::Congenital_Structural::Cyst::Galactocele,1
abpath,Breast::Congenital_Structural::Cyst::Simple_Cyst,1
abpath,Breast::Congenital_Structural::Hamartoma::Mammary_Hamartoma,1
abpath,Breast::Congenital_Structural::Malformation::Accessory_Breast_Tissue,1
abpath,Breast::Congenital_Structural::Malformation::Gynecomastia,1
abpath,Breast::Congenital_Structural::Malformation::Juvenile_Papillomatosis,1
abpath,Breast::Congenital_Structural::Mechanical::Epithelial_Displacement_Biopsy_Site,1
abpath,Breast::Congenital_Structural::Mechanical::Implant_Pathology_NOS,1
abpath,Breast::Congenital_Structural::Mechanical::Mammary_Duct_Ectasia,1
abpath,Breast::Depositional_Metabolic::Amyloidosis,1
abpath,Breast::Epithelial::Ductal_Adenoma,1
