tag,root,record_count
Skin::Neoplastic::Soft_Tissue::Adipocytic::Lipoma,Skin,125
Cyto_GYN::Squamous::Low_Grade_Squamous_Intraepithelial_Lesion_LSIL,Cyto_GYN,123
Skin::Infectious::Viral::Herpes_Simplex_Virus_HSV1_HSV2,Skin,123
HN::Odontogenic_Maxillofacial::Benign_Bone_Cartilage::Osteoma,HN,122
Skin::Neoplastic::Soft_Tissue::Benign::Fibroma,Skin,122
GI::Anus::Inflammatory::Infectious::Anal_Infections_Other,GI,121
Skin::Inflammatory::Drug_Eruption::Acute_Generalized_Exanthematous_Pustulosis_AGEP,Skin,121
Skin::Neoplastic::Adnexal::Eccrine::Poroma_Eccrine,Skin,121
Cyto_Heme::Malignant::B_Cell_Small::Follicular_Lymphoma_Low_Grade,Cyto_Heme,120
HN::Oral_Cavity::Precursor::Squamous_Papilloma,HN,120
Skin::Inflammatory::Interface::Erythema_Multiforme,Skin,120
Skin::Neoplastic::Soft_Tissue::Neural::Schwannoma,Skin,120
Skin::Infectious::Viral::Verruca_Plana_Flat_Wart,Skin,119
Skin::Neoplastic::Adnexal::Eccrine::Microcystic_Adnexal_Carcinoma,Skin,119
BST::Soft_Tissue::Hematolymphoid::Malignant::Follicular_Dendritic_Cell_Sarcoma,BST,118
Breast::Inflammatory::Reactive::Fat_Necrosis,Breast,118
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Follicular_Cervicitis,Cyto_GYN,118
GYN::Ovary::Neoplastic::Epithelial::Malignant::Clear_Cell_Carcinoma,GYN::Ovary,118
GYN::Uterus::Neoplastic::Epithelial::Precursor::Endometrial_Intraepithelial_Neoplasia_Atypical_Hyperplasia,GYN::Uterus,118
GYN::Uterus::Neoplastic::Germ_Cell::Malignant::Germ_Cell_Tumors,GYN::Uterus,118
Skin::Neoplastic::Melanocytic::Benign::Blue_Nevus_Common,Skin,118
Skin::Neoplastic::Melanocytic::In_Situ::Melanoma_In_Situ_NOS,Skin,118
Skin::Infectious::Fungal::Chromoblastomycosis,Skin,117
Skin::Inflammatory::Panniculitis::Erythema_Nodosum,Skin,117
Skin::Neoplastic::Adnexal::Follicular::Trichilemmoma,Skin,117
HN::Eye_Adnexa::Malignant_Neoplasm,HN,116
Skin::Depositional_Metabolic::Gout,Skin,116
Cyto_Breast::Category::Benign,Cyto_Breast,115
Endo::Thyroid::Inflammatory::Autoimmune::Graves_Disease,Endo,115
GI::Stomach::Neoplastic::Adenocarcinoma::Gastric_Adenocarcinoma_Diffuse_Signet_Ring_Type,GI,115
Skin::Neoplastic::Hematolymphoid::Subcutaneous_Panniculitis_Like_T_Cell_Lymphoma,Skin,115
Skin::Neoplastic::Melanocytic::Intermediate::BAPoma_BAP1_Inactivated_Nevus,Skin,115
BST::Soft_Tissue::Fibroblastic::Intermediate::Dermatofibrosarcoma_Protuberans_Conventional,BST,114
Endo::Thyroid::Inflammatory::Chronic_Lymphocytic::Hashimoto_Thyroiditis,Endo,114
Endo::Thyroid::Neoplastic::Mesenchymal::Benign::Peripheral_Nerve_Sheath_Tumor,Endo,114
Skin::Inflammatory::Histiocytic::Histiocytosis,Skin,113
Skin::Neoplastic::Melanocytic::Benign::Congenital_Nevus,Skin,113
Skin::Neoplastic::Soft_Tissue::Adipocytic::Spindle_Cell_Lipoma,Skin,113
GI::Biliary::Inflammatory::Cholecystitis::Gallbladder_Cholelithiasis,GI,112
HN::Eye_Adnexa::Non_Neoplastic,HN,112
HN::Oral_Cavity::Tumor_Uncertain_Histogenesis::Congenital_Granular_Cell_Epulis,HN,112
BST::Bone::Giant_Cell::Benign::Giant_Cell_Reparative_Granuloma,BST,111
BST::Soft_Tissue::Inflammatory::Acute_Chronic::Myositis_Ossificans,BST,111
HN::Soft_Tissue::Peripheral_Nerve_Sheath::Malignant_Peripheral_Nerve_Sheath_Tumor,HN,111
Skin::Inflammatory::Acneiform::Rosacea,Skin,111
Skin::Neoplastic::Melanocytic::Malignant::Melanoma_Nodular,Skin,111
HN::Sinonasal::Mesenchymal::Sinonasal_Glomangiopericytoma,HN,110
Skin::Inflammatory::Panniculitis::Panniculitis_Overview_NOS,Skin,110
Skin::Neoplastic::Melanocytic::Benign::Halo_Nevus,Skin,110
Breast::Neoplastic::Metastatic::Malignant::Metastasis_To_Breast,Breast,109
Cyto_GI_Tract::Esophagus::Malignant::Adenocarcinoma,Cyto_GI_Tract,109
Cyto_Pancreatobiliary::Benign_Neoplasm::Serous_Cystadenoma_Microcystic,Cyto_Pancreatobiliary,109
Cyto_Pancreatobiliary::Benign_Reactive::Cyst::Pseudocyst,Cyto_Pancreatobiliary,109
GI::Stomach::Polyp::Adenoma::Gastric_Adenoma_With_Dysplasia_NOS,GI,109
BST::Soft_Tissue::Uncertain_Diff::Malignant::Clear_Cell_Sarcoma_Soft_Tissue,BST,108
Cyto_GYN::Malignant_Other::Small_Cell_Neuroendocrine_Carcinoma,Cyto_GYN,108
HN::Sinonasal::Carcinoma::Sinonasal_Undifferentiated_Carcinoma,HN,108
Molecular::Concept::Basic_Science::DNA_RNA_Gene_Structure,Molecular,108
Skin::Inflammatory::Spongiotic::Seborrheic_Dermatitis,Skin,108
Skin::Neoplastic::Melanocytic::Malignant::Melanoma_Superficial_Spreading,Skin,108
BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Pleomorphic_Sarcoma,BST,107
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Reactive_Cellular_Changes_Repair_Typical,Cyto_GYN,107
