canonical_tag,display_label,root_id,root_label,subcategory_label,provenance,study_query,dedupe_key,merged_alias_count,merged_alias_tags
BST::Soft_Tissue::Adipocytic::Benign::Myolipoma_Of_Soft_Tissue,Myolipoma_Of_Soft_Tissue,bst,BST,Soft_Tissue,abpath,Myolipoma Of Soft Tissue,bst::myolipoma_of_soft_tissue,1,BST::Soft_Tissue::Adipocytic::Myolipoma_of_Soft_Tissue
BST::Soft_Tissue::Adipocytic::Benign::Synovial_Lipomatosis,Synovial_Lipomatosis,bst,BST,Soft_Tissue,abpath,Synovial Lipomatosis,bst::synovial_lipomatosis,0,
BST::Soft_Tissue::Adipocytic::Chondroid_Lipoma,Chondroid_Lipoma,bst,BST,Soft_Tissue,who,Chondroid Lipoma,bst::chondroid_lipoma,0,
BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,bst,BST,Soft_Tissue,abpath,Atypical Lipomatous Tumor Well Differentiated Liposarcoma,bst::atypical_lipomatous_tumor_well_differentiated_liposarcoma,0,
BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor,Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor,bst,BST,Soft_Tissue,abpath,Atypical Spindle Cell Pleomorphic Lipomatous Tumor,bst::atypical_spindle_cell_pleomorphic_lipomatous_tumor,1,BST::Soft_Tissue::Adipocytic::Atypical_Spindle_Cell_Pleomorphic_Lipomatous_Tumor
BST::Soft_Tissue::Adipocytic::Intermediate::Hemosiderotic_Fibrolipomatous_Tumor,Hemosiderotic_Fibrolipomatous_Tumor,bst,BST,Soft_Tissue,abpath,Hemosiderotic Fibrolipomatous Tumor,bst::hemosiderotic_fibrolipomatous_tumor,1,BST::Soft_Tissue::Uncertain_Diff::Hemosiderotic_Fibrolipomatous_Tumor
BST::Soft_Tissue::Adipocytic::Lipoblastoma_and_Lipoblastomatosis,Lipoblastoma_and_Lipoblastomatosis,bst,BST,Soft_Tissue,who,Lipoblastoma and Lipoblastomatosis,bst::lipoblastoma_and_lipoblastomatosis,0,
BST::Soft_Tissue::Adipocytic::Lipomatosis,Lipomatosis,bst,BST,Soft_Tissue,who,Lipomatosis,bst::lipomatosis,0,
BST::Soft_Tissue::Adipocytic::Malignant::Dedifferentiated_Liposarcoma,Dedifferentiated_Liposarcoma,bst,BST,Soft_Tissue,abpath,Dedifferentiated Liposarcoma,bst::dedifferentiated_liposarcoma,0,
BST::Soft_Tissue::Adipocytic::Malignant::Myxoid_Liposarcoma,Myxoid_Liposarcoma,bst,BST,Soft_Tissue,abpath,Myxoid Liposarcoma,bst::myxoid_liposarcoma,0,
